college_name,link,college_type,facilities,contact_no,Email_id,Website,address
"EcoleHoteliereLavasa(EHL),pune",https://www.collegedekho.com/colleges/ecole-hoteliere-lavasa,Private, Math Lab   Academic Zone   A/C   AV Lab   ATM   Boys Hostel   Canteen   Computer Lab   CSC   Convo. Hall   Counselling   Cultural zone   Digi sign   Education Festival   Planning lab   Free Laptop   Girls Hostel   Library   Medical Facilities   Sports   Trans.   Cafeteria   ,    ,ecolelavasa@gmail.com,http://www.ecolehotelierelavasa.com/studiesprogram.html,"Ecole Hoteliere Lavasa Dasve Hospitality Institutes Limited Information Centre 80 Event Centre Street, Post Mose, Dasve, Lavasa, Pune - 412107, Maharashtra, India, Pune, Maharashtra, India- 412107"
"RajgadDnyanpeeth'sCollegeofPharmacy(RDCP),pune",https://www.collegedekho.com/colleges/rajgad-dnyanpeeths-college-of-pharmacy,Private, A/C   Canteen   Computer Lab   Counselling   Planning lab   Hospital   Cls. Room   WiFi  , 9922137433,rdcopbhor92@gmail.com,http://www.rdcopbhor.com/,"Rajgad Dnyanpeeth's College of Pharmacy  Address : Bhor, Dist. Pune - 412206."
"MaharashtraInstituteofMedicalEducationandResearch(MIMERPUNE),pune",https://www.collegedekho.com/colleges/mit-mimer,Private, Auditorium   Canteen   Computer Lab   Library   Medical Facilities   Cls. Room   Sports   Cafeteria    Laboratories   Hostel  ,,director@mitmimer.com,http://mitmimer.com,"['Talegaon Dabhadet, Pune Maharastra,India. ']"
"A.K.K.NewLawAcademy(AKKNLA),pune",https://www.collegedekho.com/colleges/akk-new-law-academy,Private, Boys Hostel   Canteen   Computer Lab   Library   Medical Facilities   Cls. Room   Sports   WiFi   Cafeteria    Hostel  , 020-264420,principalnlapune@rediffmail.com,http://www.nlapune.org,"2390, B.K.B. Hidayatullah Rd, Katad Khana, Pune, Maharashtra 411001"
"InternationalInstituteofHotelManagement(IIHM),pune",https://www.collegedekho.com/colleges/iihm-pune,Private, Auditorium   Canteen   Computer Lab   Cultural zone   Gym   Library   Medical Facilities   Cls. Room   Music   Placement   Sports   Grounds   Swimming Pool   Trans.   WiFi   Power Backup   Cafeteria    Laboratories   Hostel  ,  67296200    8600147345 8600995713 8600995714 8600995712,admin.pune@iihm.ac.in,https://www.iihm.ac.in/pune-campus/,"Kalptaru Arcade S.No.206/3, Plot No. 16 Viman Nagar, near Neco Garden & TASMAC, Pune Airport, Pune, Maharashtra, India- 411014"
pune,https://www.collegedekho.com/colleges/pict,Private, Academic Zone   Auditorium   ATM   Boys Hostel   Canteen   Computer Lab   CSC   Convo. Hall   Cultural zone   Girls Hostel   Guest house   Gym   Hospital   Mess   Library   Medical Facilities   Cls. Room   Music   Placement   Sports   Grounds   Residential Faculty Zone   Swimming Pool   Trans.   WiFi   Cafeteria    Hostel  ,+91-20-24371101,principal@pict.edu,http://www.pict.edu,"Sr. No 27, Pune-Satara Road, Dhankawadi, Pune-411 043, Maharashtra (India)."
"AbedaIndamdarSeniorCollegeofArts,Science&Commerce(ABEDA),pune",https://www.collegedekho.com/colleges/abeda,Private, Auditorium   Computer Lab   Gym   Library   Medical Facilities   Sports   Cafeteria    Laboratories   Hostel  ,91-20-26446970,,http://www.abedainamdarcollege.org.in/,"['2390-B, K.B. Hidayatullah Road,  Azam Campus, Camp,  Pune 411001 Maharashtra, India.']"
"InternationalInstituteofFashionDesign(INIFD),pune",https://www.collegedekho.com/colleges/international-institute-of-fashion-design-pune,Private, A/C   Auditorium   ATM   Canteen   Computer Lab   Library   Cls. Room   Placement   Sports   Shopping   WiFi   Power Backup   Cafeteria    Studio   Laboratories  ,    +91-7219830005 +91-7219830008 +91-7219830004 +91-7219830004,info@inifdpune.co.in,www.inifdpune.co.in,"1st Floor, Opp. Geetai Shopping, Above RAJ Motors, Kothrud, Rambaug Colony, Kothrud, Pune, Maharashtra 411038, India."
"AllanaCollegeofPharmacy(AACPA),pune",https://www.collegedekho.com/colleges/allana-college-of-pharmacy,Private, Math Lab   Academic Zone   Auditorium   ATM   Canteen   Computer Lab   Counselling   Gym   Library   Medical Facilities   Cls. Room   Sports   WiFi   Seminar Hall   Cafeteria    Laboratories   Hostel  ,32342074,info@allanacollegeofpharmacy.org,http://allanacollegeofpharmacy.org/,"2390 - K. B. Hidayatullah Road, New Modikhana, Azam Campus, Camp, Pune, Maharashtra, India- 411001"
"BharatiVidyapeethUniversity,InstituteofHotelManagement&CateringTechnology(IHMCTPUNE),pune",https://www.collegedekho.com/colleges/ihmct-pune,Private, A/C   Auditorium   Boys Hostel   Canteen   Computer Lab   Convo. Hall   Counselling   Guest house   Gym   Mess   Theatre   Library   Medical Facilities   Cls. Room   Placement   Sports   WiFi   Cafeteria    Laboratories   Hostel  , 24372761,http://ihmct.bharatividyapeeth.edu/,http://ihmct.bharatividyapeeth.edu/default.aspx,"Pune-Satara Road, Katraj, Puneu2013411043, Maharashtra, India"
"DepartmentofManagementScience,SavitribaiPhulepune",https://www.collegedekho.com/colleges/pumba-pune,Private, A/C   Auditorium   ATM   Boys Hostel   Canteen   Computer Lab   Girls Hostel   Library   Medical Facilities   Sports   Cafeteria    Laboratories   Hostel  ,020-2569   ,dms@pumba.in,http://www.pumba.in/,"Department of Management Sciences Savitribai Phule Pune University Ganeshkhind,Pune - 411007 Maharashtra, India"
"BalajiInstituteofModernManagement(BIMM),pune",https://www.collegedekho.com/colleges/bimm-pune,Private, A/C   Auditorium   ATM   Boys Hostel   Canteen   Computer Lab   Counselling   Gym   Mess   Library   Medical Facilities   Cls. Room   Placement   Sports   Swimming Pool   WiFi   Cafeteria    Laboratories   Hostel  ,+91-2066741243,admissions@sribalajisocietypune.org,https://www.bimmpune.com/,"Survey No. 55/2-7, Off Mumbai-Bangalore Bypass, Tathawade, Pune, Maharashtra 411033"
"BharatiVidyapeethDentalCollege&Hospital(BVUDCH),pune",https://www.collegedekho.com/colleges/bharati-vidyapeeth-university-dental-college,Private, A/C   Auditorium   ATM   Boys Hostel   Canteen   Computer Lab   Hospital   Mess   Theatre   Library   Medical Facilities   Cls. Room   Sports   WiFi   Cafeteria    Laboratories   Hostel   E-Classroom  ,020-24373266 020-24367300,dchpune@bharatividyapeeth.edu,http://dchpune.bharatividyapeeth.edu,"Pune–Satara Road, Katraj–Dhankawadi, Pune–411 043"
"FlameUniversity,pune",https://www.collegedekho.com/colleges/flame-university,Private, Auditorium   Canteen   Computer Lab   Gym   Library   Medical Facilities   Cls. Room   Sports   Trans.   Table   Chair   Cafeteria    Laboratories   Hostel  ,   ,enquiry@flame.edu.in,http://www.flame.edu.in/academics/schools-departments,"Gat No. 1270, Lavale, Off. Pune Bangalore Highway,Vadzai, Dist. Pune - 412115, India"
"AllIndiaShriShivajiMemorialSociety'sInstituteofManagement(AISSMSIOM),pune",https://www.collegedekho.com/colleges/aissms-pune,Private, ATM   Boys Hostel   Canteen   Computer Lab   Girls Hostel   Library   Medical Facilities   Cls. Room   Sports   post off.   Trans.   Seminar Hall   Conference Room   Hostel  ,+91-2026058734  ,enquiry@aissmsiom.org,www.aissmsiom.org,"Kennedy Road, Near R.T.O., Pune - 411 001, Maharashtra (INDIA)."
"ARIHANTINSTITUTEOFBUSINESSMANAGEMENT(AIBMPUNE),pune",https://www.collegedekho.com/colleges/arihant-institute-of-business-management, , Auditorium   Canteen   Computer Lab   Gym   Library   Medical Facilities   Cls. Room   Sports   Grounds   WiFi   Seminar Hall   Cafeteria    Laboratories   Hostel  ,+91-020-67902400/403/404/418/419,aibm.admin@arihant.education,www.aibm.arihant.org.in,"Sr. No. 276/1/2, 278/2, Behind Crystal Honda Show Room, Near New Mumbai- Pune Highway, Bavdhan (BK), Pune-411021"
"AksharInstituteOfManagementStudies(AIMS),pune",https://www.collegedekho.com/colleges/akshar-institute-of-management-studies-pune,Private, Math Lab   Academic Zone   AV Lab   Auditorium   ATM   Computer Lab   CSC   Convo. Hall   Counselling   Fest   Cultural zone   Digi sign   Planning lab   Free Laptop  ,+91-9372436273 8999509202,info@aimsiso.com,http://www.aimsiso.com/,"C-149, Akshay Complex, Dhole Patil Road, Ruby Hall, Near Railway Station, Bund Garden Road, Pune, Maharashtra, India- 411001"
"MITSchoolofManagement,pune",https://www.collegedekho.com/colleges/mit-school-of-management,Private, Academic Zone   Computer Lab   Girls Hostel   Gym   Mess   Theatre   Library   Medical Facilities   Cls. Room   Grounds   Cafeteria    Laboratories   Hostel  ,  32516817,academic@mitsom.com,http://www.mitsom.org/,"S.No. 123, Saraswati Vishwa Building,A wing, 3rd Floor, MIT Campus, Paud Road, Kothrud, Pune. 411038"
"MITArtsCommerceandScienceCollege,pune",https://www.collegedekho.com/colleges/mit-acsc,Private, A/C   AV Lab   Canteen   Computer Lab   Convo. Hall   Counselling   Fest   Cultural zone   Planning lab   Theatre   Library   Medical Facilities   Cls. Room   Grounds   Practical Labs   WiFi  ,020-30253500 020-30253600 020-30253700,admission@mitacsc.ac.in,http://mitacsc.ac.in/,"[""MAEER's MIT Arts Commerce & Science College Dehu Phata"", ' Alandi (D)', ' Tal. Khed', ' Pune - 412 105 Maharashtra', ' India']"
"AmbrosiaInstituteofHotelManagement(AIHM),pune",https://www.collegedekho.com/colleges/aihm-pune,Private, Canteen   Library   Medical Facilities   Cls. Room   Sports  ,7875046850,aihmpune@gmail.com,http://www.aihmpune.com,"Ambrosia Resorts,rnBawdhan, Pune, Maharashtra,rnPune u2013 400 021"
"D.Y.PatilCollegeofEngineering(DYPCOE),pune",https://www.collegedekho.com/colleges/dy-patil-college-of-engineering-2,Private, Academic Zone   Auditorium   Boys Hostel   Canteen   Computer Lab   Education Festival   Gym   Library   Medical Facilities   Cls. Room   Placement   Sports   Grounds   Trans.   Cafeteria    Laboratories   Hostel  ,+91–20–27653054  ,principal@dypcoeakurdi.ac.in,https://www.dypcoeakurdi.ac.in/,"D. Y. Patil College of Engineering, D. Y. Patil Educational Complex, Sector 29, Nigdi Pradhikaran, Akurdi, Pune 411044."
"PoonaCollegeOfArtsScienceAndCommerce(PCASC),pune",https://www.collegedekho.com/colleges/aki-poona-college,Private, Auditorium   Canteen   Computer Lab   Gym   Library   Medical Facilities   Cls. Room   Placement   Sports   Cafeteria    Laboratories   Hostel  ,020-2645424,principal@akipoonacollege.ac.in,http://www.akipoonacollege.ac.in/,"['Pune - 411 001, Maharashtra, INDIA.']"
"MarathwadaMitraMandal'scollegeofcommerce(MMCCPUNE),pune",https://www.collegedekho.com/colleges/mmcc-pune,Private, Auditorium   Canteen   Computer Lab   Gym   Library   Medical Facilities   Cls. Room   Sports   Cafeteria    Laboratories   Hostel  ,+91-20-25651410,info@mmcc.co.in,http://www.mmcc.co.in,"['302 / A, Deccan Gymkhana,\r\nPune - 411 004, Maharashtra, INDIA']"
"HRSPMandalsArts,Commerce&ScienceCollege(HRSP),pune",https://www.collegedekho.com/colleges/hrsp-mandals-arts-commerce-science-college,Private,College TypePrivateEstablished In2005Courses Offered2 ,02135-224400.,info@hrspmrajgurunagarpune.org,http://hrspmrajgurunagarpune.org/ACSCollege,"['Dehane, Tal-Khed , Dist-Pune – 412 402.\r\nMaharashtra,India.']"
"VishwakarmaCreative-iCollege(VCIC),pune",https://www.collegedekho.com/colleges/vishwakarma-creative-i-college,Private, AV Lab   Auditorium   Boys Hostel   Canteen   Computer Lab   Library   Cls. Room   Sports   Workshops   Cafeteria    Hostel  ,,admission@vcic.ac.in,http://www.vcic.ac.in/,
"Dr.D.Y.PatilInstituteofHotelManagementandCateringTechnology(DDYPIHMCT),pune",https://www.collegedekho.com/colleges/ddpihmct,Private, AV Lab   Computer Lab   Convo. Hall   Fest   Cultural zone   Planning lab   Gym   Theatre   Library   Cls. Room   Sports   Practical Labs   R&D   Shopping   Cafeteria    Hostel  ,  22932624,info.hmct@dypvp.edu.in,http://www.hmct.dypvp.edu.in/,"Thatawade, Pune - 411 033,Maharashtra, India."
"MitconInstituteofManagement(MITCON),pune",https://www.collegedekho.com/colleges/mitcon-pune,Private, Academic Zone   Auditorium   Computer Lab   Convo. Hall   Library   Medical Facilities   Cls. Room   Placement   Sports   video Call   WiFi   Conference Room   Table   Chair   Cafeteria    Laboratories  ,+91-2066289600,"info@mima.edu.in, admissions@mima.edu.in",www.mima.edu.in,"Sr. No. 33/1, Opp. Chhatrapati Shivaji Sports Complex, Near Octroi Naka, Balewadi Pune, India"
"CollegeofAgriculture(COA),pune",https://www.collegedekho.com/colleges/college-of-agriculture-pune,Government, Auditorium   Computer Lab   Counselling   Guest house   Gym   Library   Medical Facilities   Cls. Room   WiFi   Cafeteria    Hostel  , 25538489 ,adacpune@gmail.com,http://www.coapune.org/,"['Shivaji Nagar', ' Pune-411005. Maharashtra', ' India.']"
"NevilleWadiaInstituteofManagementStudiesandResearch(NWIMSRPune),pune",https://www.collegedekho.com/colleges/neville-wadia-institute-of-management-studies-and-research,Private, Academic Zone   A/C   Auditorium   ATM   Boys Hostel   Computer Lab   Girls Hostel   Gym   Library   Medical Facilities   Cls. Room   Sports   WiFi   Cafeteria    Laboratories  ,   ,director@nevillewadia.com,www.nevillewadia.com,"19,Late Principal V K Jog Path, Pune Maharashtra 411001"
"PDEASethGovindRaghunathSableCollegeofPharmacy(PDEA),pune",https://www.collegedekho.com/colleges/pdea,Private, A/C   Canteen   Computer Lab   Library   Cls. Room   WiFi  ,    ,sgrs_contact@yahoo.com,http://pdeasgrspharma.org/,"SGRS College of Pharmacy, rnSaswad - 412301,rnDist. Pune,rnMaharashtra, India."
"D.E.S.LawCollege,pune",https://www.collegedekho.com/colleges/des-law-college,Private, Boys Hostel   Canteen   Computer Lab   Library   Medical Facilities  ,   ,deslaw@despune.org,http://www.deslaw.edu.in,"Gate No. 3, Fergusson College Campus, Pune - 411 004"
"P.E.S.ModernCollegeofArtsScienceandCommerce(PESMCPune),pune",https://www.collegedekho.com/colleges/modern-college-pune,Private, Math Lab   Auditorium   Canteen   Computer Lab   Gym   Library   Medical Facilities   Cls. Room   Music   Placement   Sports   WiFi   Cafeteria    Laboratories   Hostel   Scholarship  ,         ,contact@moderncollegepune.edu.in,http://www.moderncollegepune.com,"Modern College of Arts, Science and Commerce (Autonomous) Shivajinagar, Pune 411005. Maharashtra, India"
"MITInternationalSchoolofBroadcasting&Journalism(MIT),pune",https://www.collegedekho.com/colleges/mit-international-school-of-broadcasting-and-journalism,Private, ATM   Canteen   Computer Lab   Convo. Hall   Girls Hostel   Gym   Mess   Library   Music   Swimming Pool   WiFi  ,020-32344394,info@mitisbj.com,http://www.mitisbj.com/,"['Admin Building', ' 1st Floor', ' Rajbaug Educational Complex', ' Loni-Kalbhor', 'Taluka-Haveli', ' Pune - 412201Maharashtra India']"
"MaharashtraStateInstituteofHotelManagement&CateringTechnology(MSIHMCT),pune",https://www.collegedekho.com/colleges/maharashtra-state-institute-of-hotel-management-catering-technology,Private, Academic Zone   AV Lab   Auditorium   Boys Hostel   Computer Lab   Convo. Hall   Counselling   Cultural zone   Education Festival   Free Laptop   Gym   Gymkhana   Mess   Library   Sports   Cafeteria    Laboratories  ,25676640,contact@msihmct.org,http://www.msihmctrs.in/,"412-C,K.M.Munshi Road, Shivaji Nagar Pune 411016"
"M.A.RangoonwalaCollegeofDentalScience&ResearchCentre(MARDENTAL),pune",https://www.collegedekho.com/colleges/mardc-pune,Private, Auditorium   Boys Hostel   Canteen   Counselling   Girls Hostel   Hospital   Mess   Library   Medical Facilities   Cls. Room   Placement   WiFi   Conference Room  ,+91-20-26430959,dean-mardental@azamcampus.org,http://mardentalcollege.org/,"['2390-B', ' K.B. Hidayatullah Road', ' Azam Campus', ' Camp', ' Pune', ' Pin- 411001', ' Maharashtra', ' India']"
"PadmashreeDr.D.Y.PatilCollegeOfPharmacy(DYPCOE),pune",https://www.collegedekho.com/colleges/dy-patil-college-of-pharmacy,Private, Math Lab   Academic Zone   A/C   AV Lab   Auditorium   ATM   Boys Hostel   Computer Lab   Convo. Hall   Library   Medical Facilities   Cls. Room   Sports   WiFi  ,020-27653054,info@dyppharmaakurdi.org,http://dyppharmaakurdi.org/,"D. Y. Patil College of Pharmacy, D. Y. Patil Educational Complex,  Sector 29, Nigdi Pradhikaran, Akurdi, Pune 411044."
"IndiraCollegeofPharmacy(ICOP),pune",https://www.collegedekho.com/colleges/indira-college-of-pharmacy,Private, A/C   Auditorium   ATM   Boys Hostel   Canteen   Computer Lab   Library   Medical Facilities   Cls. Room   WiFi  ,02066759601,adminicp@indiraicp.edu.in,http://www.indiraicp.edu.in/,"Niramay,S.No.89/2A, New Pune Mumbai Highway, Tathwade,Pune -411033"
